iso,year,start,end,obs_matdeaths,pm_obs,env,mmr_obs,shortcite,obs_selogpm,type,modelinclude,crvs_completeness,definition,sens,var_sens,sens_sq,oneminsens_sq,spec,var_spec,spec_sq,oneminspec_sq,cov_sesp,completeness_inq
CZE,1987.5,1987,1988,12,0.004801920768307323,2499,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1988.5,1988,1989,13,0.004963726613211149,2619,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1989.5,1989,1990,12,0.004442798963346909,2701,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1990.5,1990,1991,11,0.003907637655417406,2815,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1991.5,1991,1992,17,0.00585802894555479,2902,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1992.5,1992,1993,12,0.004314994606256742,2781,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1993.5,1993,1994,14,0.005035971223021582,2780,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1994.5,1994,1995,7,0.0026080476900149033,2684,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1995.5,1995,1996,2,7.382798080472499e-4,2709,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1996.5,1996,1997,5,0.002011263073209976,2486,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1997.5,1997,1998,2,7.846214201647705e-4,2549,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1998.5,1998,1999,5,0.002221235006663705,2251,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
